Dept,Circo,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,SUM of Blanc,SUM of Nul,SUM of Total des votes exprimés,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,22 - 2,1567,85,242,171,681,1828,45,34,22,4619,33.93,1.84,5.24,3.70,14.74,39.58,0.97
,22 - 1,1788,111,234,227,888,2189,49,44,29,5486,32.59,2.02,4.27,4.14,16.19,39.90,0.89
,22 - 3,1056,51,113,96,441,960,23,15,11,2740,38.54,1.86,4.12,3.50,16.09,35.04,0.84
23,23 - 1,1057,41,159,63,633,1371,22,21,21,3346,31.59,1.23,4.75,1.88,18.92,40.97,0.66
24,24 - 1,1026,57,195,80,678,1132,15,37,30,3183,32.23,1.79,6.13,2.51,21.30,35.56,0.47
,24 - 2,1159,83,199,99,579,1094,27,28,28,3240,35.77,2.56,6.14,3.06,17.87,33.77,0.83
,24 - 3,766,40,118,55,430,809,33,23,21,2251,34.03,1.78,5.24,2.44,19.10,35.94,1.47
,24 - 4,1161,65,181,113,588,1214,43,20,31,3365,34.50,1.93,5.38,3.36,17.47,36.08,1.28
25,25 - 5,440,33,87,54,253,485,18,10,17,1370,32.12,2.41,6.35,3.94,18.47,35.40,1.31
,25 - 4,700,28,104,61,394,472,22,20,11,1781,39.30,1.57,5.84,3.43,22.12,26.50,1.24
,25 - 3,526,26,97,26,270,404,15,12,7,1364,38.56,1.91,7.11,1.91,19.79,29.62,1.10
,25 - 2,1294,92,291,189,856,1787,46,28,29,4555,28.41,2.02,6.39,4.15,18.79,39.23,1.01
,25 - 1,579,36,87,90,352,719,13,5,8,1876,30.86,1.92,4.64,4.80,18.76,38.33,0.69
26,26 - 2,892,52,167,92,502,966,33,10,24,2704,32.99,1.92,6.18,3.40,18.57,35.72,1.22
,26 - 4,1097,64,157,128,609,1110,46,29,21,3211,34.16,1.99,4.89,3.99,18.97,34.57,1.43
,26 - 3,1369,112,307,208,695,2047,74,36,43,4812,28.45,2.33,6.38,4.32,14.44,42.54,1.54
,26 - 1,893,58,191,126,497,1041,21,12,15,2827,31.59,2.05,6.76,4.46,17.58,36.82,0.74
27,27 - 3,562,26,126,78,373,676,10,13,10,1851,30.36,1.40,6.81,4.21,20.15,36.52,0.54
,27 - 4,782,73,173,84,568,997,27,16,20,2704,28.92,2.70,6.40,3.11,21.01,36.87,1.00
,27 - 2,611,31,122,72,341,636,28,9,12,1841,33.19,1.68,6.63,3.91,18.52,34.55,1.52
,27 - 5,741,55,159,84,498,876,31,18,7,2444,30.32,2.25,6.51,3.44,20.38,35.84,1.27
,27 - 1,496,40,107,79,293,570,15,7,12,1600,31.00,2.50,6.69,4.94,18.31,35.63,0.94
28,28 - 2,532,39,104,67,319,534,25,13,19,1620,32.84,2.41,6.42,4.14,19.69,32.96,1.54
,28 - 4,429,47,68,50,238,433,11,5,7,1276,33.62,3.68,5.33,3.92,18.65,33.93,0.86
,28 - 3,801,79,136,67,456,723,24,27,14,2286,35.04,3.46,5.95,2.93,19.95,31.63,1.05
,28 - 1,874,65,176,109,487,1013,21,10,13,2745,31.84,2.37,6.41,3.97,17.74,36.90,0.77
29,29 - 2,1902,90,335,224,629,3047,45,36,28,6272,30.33,1.43,5.34,3.57,10.03,48.58,0.72
,29 - 1,1682,76,263,225,652,2202,47,52,36,5147,32.68,1.48,5.11,4.37,12.67,42.78,0.91
,29 - 3,1085,61,141,130,374,1650,31,13,6,3472,31.25,1.76,4.06,3.74,10.77,47.52,0.89
,29 - 4,1358,74,193,166,524,2151,27,26,24,4493,30.22,1.65,4.30,3.69,11.66,47.87,0.60
