Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
62,62|1,,,40.27,1.907,3.595,2.567,18.19,32.64,0.8
,62|10,,,32.88,1.511,3.439,1.302,17.3,42.52,1.04
,62|11,,,29.23,2.396,5.91,1.437,22.28,36.9,1.83
,62|12,,,39.4,3.48,5.593,2.796,16.46,30.76,1.49
,62|2,,,34.4,1.474,5.896,2.986,17.72,36.77,0.73
,62|3,,,40.88,3.477,5.169,1.597,17.01,30.63,1.22
,62|4,,,34.45,2.046,6.138,2.31,15.31,38.54,1.18
,62|5,,,32.39,2.811,7.452,2.989,21.01,31.81,1.51
,62|6,,,34.77,1.741,7.022,2.696,22.58,29.83,1.34
,62|7,,,32.27,1.836,7.909,1.977,21.75,33.12,1.12
,62|8,,,37.77,1.609,5.51,2.848,16.65,34.61,0.99
,62|9,,,30.93,3.477,3.237,2.158,17.02,42.44,0.71
63,63|1,,,33.78,2.877,5.044,2.742,17.53,37.03,0.98
,63|2,,,32.67,1.922,6.657,2.672,18.23,37.27,0.56
,63|3,,,30.74,1.925,6.704,3.53,17.15,39.05,0.89
,63|4,,,31.07,1.735,7.039,2.39,20.79,36.24,0.72
,63|5,,,31.68,1.826,5.963,2.981,19.56,36.97,1
64,64|1,,,35.96,1.737,6.301,3.235,16.21,35.72,0.81
,64|2,,,35.01,1.416,6.32,3.559,16.34,36.61,0.72
,64|3,,,38.78,1.972,4.628,3.122,18.04,32.73,0.71
,64|4,,,32.77,2.622,4.792,3.074,15.05,40.55,1.13
,64|5,,,31.33,1.455,8.299,3.341,13.68,40.82,1.05
,64|6,,,32.54,2.488,8.283,2.823,13.37,39.67,0.81
65,65|1,,,37.79,3.215,6.158,2.844,16.25,32.47,1.26
,65|2,,,37.82,3.359,6.065,3.39,16.11,32.22,1.02
66,66|1,,,41.01,1.567,3.966,2.687,17.01,32.82,0.99
,66|2,,,42.88,1.982,4.743,2.566,17.14,29.78,0.89
,66|3,,,40.63,2.42,3.561,2.374,14.29,35.7,1
,66|4,,,44.4,2.587,4.364,2.404,15.89,29.32,1.01
67,67|1,,,29.79,1.504,9.097,4.333,13.53,43.15,1.21
,67|2,,,30.67,2.083,9.462,4.141,13.57,38.88,1.17
,67|3,,,30.29,1.889,8.06,4.391,16.17,37.63,1.55
,67|4,,,36.54,2.788,7.827,5.528,14.72,31.16,1.41
,67|5,,,29.42,2.934,7.674,5.267,17.68,34.83,2.18
,67|6,,,30.39,3.134,9.329,6.195,16.1,32.79,2.04
,67|7,,,32.39,1.966,5.617,5.805,19.28,32.67,2.24
,67|8,,,37.98,3.669,8.44,6.055,15.41,26.42,2.01
,67|9,,,30.85,2.958,10.65,5.663,19.1,29.67,1.09
68,68|1,,,33.62,2.593,7.588,6.532,17.77,30.16,1.72
,68|2,,,31.07,1.731,8.326,7.831,13.84,35.61,1.56
,68|3,,,32.08,3.233,7.462,6.343,18.78,29.22,2.86
,68|4,,,35.33,2.046,7.639,4.365,17.59,31.65,1.36
,68|5,,,32.27,1.989,9.222,4.611,16.9,33.99,0.99
